File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels,Date Modified
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:03,23.976,48000,2,1920 x 1080,Cineform HD,00:01:14:07,00:01:18:10,1783,1881,99,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:22,23.976,48000,2,1920 x 1080,Cineform HD,00:01:18:10,00:01:22:08,1882,1975,94,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:07,23.976,48000,2,1920 x 1080,Cineform HD,00:01:22:08,00:01:28:15,1976,2126,151,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:00,23.976,48000,2,1920 x 1080,Cineform HD,00:01:28:15,00:01:34:15,2127,2270,144,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:07:08,23.976,48000,2,1920 x 1080,Cineform HD,00:01:34:15,00:01:41:23,2271,2446,176,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:04,23.976,48000,2,1920 x 1080,Cineform HD,00:01:41:23,00:01:46:03,2447,2546,100,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:17,23.976,48000,2,1920 x 1080,Cineform HD,00:01:46:03,00:01:49:20,2547,2635,89,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:08,23.976,48000,2,1920 x 1080,Cineform HD,00:01:49:20,00:01:53:04,2636,2715,80,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:12,23.976,48000,2,1920 x 1080,Cineform HD,00:01:53:04,00:01:56:16,2716,2799,84,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:16,23.976,48000,2,1920 x 1080,Cineform HD,00:01:56:16,00:02:00:08,2800,2887,88,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:08:07,23.976,48000,2,1920 x 1080,Cineform HD,00:02:00:08,00:02:08:15,2888,3086,199,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:06,23.976,48000,2,1920 x 1080,Cineform HD,00:02:08:15,00:02:14:21,3087,3236,150,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:18,23.976,48000,2,1920 x 1080,Cineform HD,00:02:14:21,00:02:18:15,3237,3326,90,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:04,23.976,48000,2,1920 x 1080,Cineform HD,00:02:18:15,00:02:21:19,3327,3402,76,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:06,23.976,48000,2,1920 x 1080,Cineform HD,00:02:21:19,00:02:26:01,3403,3504,102,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:11:22,23.976,48000,2,1920 x 1080,Cineform HD,00:02:26:01,00:02:37:23,3505,3790,286,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:18:05,23.976,48000,2,1920 x 1080,Cineform HD,00:02:37:23,00:02:56:04,3791,4227,437,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:10,23.976,48000,2,1920 x 1080,Cineform HD,00:02:56:04,00:03:00:14,4228,4333,106,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:14,23.976,48000,2,1920 x 1080,Cineform HD,00:03:00:14,00:03:04:04,4334,4419,86,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:23,23.976,48000,2,1920 x 1080,Cineform HD,00:03:04:04,00:03:09:03,4420,4538,119,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:07,23.976,48000,2,1920 x 1080,Cineform HD,00:03:09:03,00:03:15:10,4539,4689,151,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:10:12,23.976,48000,2,1920 x 1080,Cineform HD,00:03:15:10,00:03:25:22,4690,4941,252,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:20,23.976,48000,2,1920 x 1080,Cineform HD,00:03:25:22,00:03:29:18,4942,5033,92,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:18,23.976,48000,2,1920 x 1080,Cineform HD,00:03:29:18,00:03:34:12,5034,5147,114,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:01,23.976,48000,2,1920 x 1080,Cineform HD,00:03:34:12,00:03:38:13,5148,5244,97,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:19,23.976,48000,2,1920 x 1080,Cineform HD,00:03:38:13,00:03:44:08,5245,5383,139,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:01,23.976,48000,2,1920 x 1080,Cineform HD,00:03:44:08,00:03:48:09,5384,5480,97,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:34:17,23.976,48000,2,1920 x 1080,Cineform HD,00:03:48:09,00:04:23:02,5481,6313,833,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:12:21,23.976,48000,2,1920 x 1080,Cineform HD,00:04:23:02,00:04:35:23,6314,6622,309,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:17:09,23.976,48000,2,1920 x 1080,Cineform HD,00:04:35:23,00:04:53:08,6623,7039,417,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:06,23.976,48000,2,1920 x 1080,Cineform HD,00:04:53:08,00:04:59:14,7040,7189,150,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:20:23,23.976,48000,2,1920 x 1080,Cineform HD,00:04:59:14,00:05:20:13,7190,7692,503,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:19:23,23.976,48000,2,1920 x 1080,Cineform HD,00:05:20:13,00:05:40:12,7693,8171,479,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:08,23.976,48000,2,1920 x 1080,Cineform HD,00:05:40:12,00:05:43:20,8172,8251,80,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:09:15,23.976,48000,2,1920 x 1080,Cineform HD,00:05:43:20,00:05:53:11,8252,8482,231,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:01:35:16,23.976,48000,2,1920 x 1080,Cineform HD,00:05:53:11,00:07:29:03,8483,10778,2296,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:16:15,23.976,48000,2,1920 x 1080,Cineform HD,00:07:29:03,00:07:45:18,10779,11177,399,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:14:02,23.976,48000,2,1920 x 1080,Cineform HD,00:07:45:18,00:07:59:20,11178,11515,338,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:07:03,23.976,48000,2,1920 x 1080,Cineform HD,00:07:59:20,00:08:06:23,11516,11686,171,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:01:01:12,23.976,48000,2,1920 x 1080,Cineform HD,00:08:06:23,00:09:08:11,11687,13162,1476,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:11,23.976,48000,2,1920 x 1080,Cineform HD,00:09:08:11,00:09:11:22,13163,13245,83,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:11:13,23.976,48000,2,1920 x 1080,Cineform HD,00:09:11:22,00:09:23:11,13246,13522,277,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:22,23.976,48000,2,1920 x 1080,Cineform HD,00:09:23:11,00:09:27:09,13523,13616,94,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:12,23.976,48000,2,1920 x 1080,Cineform HD,00:09:27:09,00:09:29:21,13617,13676,60,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:23,23.976,48000,2,1920 x 1080,Cineform HD,00:09:29:21,00:09:31:20,13677,13723,47,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:13,23.976,48000,2,1920 x 1080,Cineform HD,00:09:31:20,00:09:35:09,13724,13808,85,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:07:14,23.976,48000,2,1920 x 1080,Cineform HD,00:09:35:09,00:09:42:23,13809,13990,182,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:12:16,23.976,48000,2,1920 x 1080,Cineform HD,00:09:42:23,00:09:55:15,13991,14294,304,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:17,23.976,48000,2,1920 x 1080,Cineform HD,00:09:55:15,00:10:01:08,14295,14431,137,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:07:07,23.976,48000,2,1920 x 1080,Cineform HD,00:10:01:08,00:10:08:15,14432,14606,175,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:01:19:10,23.976,48000,2,1920 x 1080,Cineform HD,00:10:08:15,00:11:28:01,14607,16512,1906,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:12:01,23.976,48000,2,1920 x 1080,Cineform HD,00:11:28:01,00:11:40:02,16513,16801,289,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:14,23.976,48000,2,1920 x 1080,Cineform HD,00:11:40:02,00:11:44:16,16802,16911,110,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:12,23.976,48000,2,1920 x 1080,Cineform HD,00:11:44:16,00:11:48:04,16912,16995,84,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:11,23.976,48000,2,1920 x 1080,Cineform HD,00:11:48:04,00:11:50:15,16996,17054,59,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:09,23.976,48000,2,1920 x 1080,Cineform HD,00:11:50:15,00:11:57:00,17055,17207,153,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:15,23.976,48000,2,1920 x 1080,Cineform HD,00:11:57:00,00:11:58:15,17208,17246,39,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:12,23.976,48000,2,1920 x 1080,Cineform HD,00:11:58:15,00:12:01:03,17247,17306,60,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:09,23.976,48000,2,1920 x 1080,Cineform HD,00:12:01:03,00:12:06:12,17307,17435,129,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:18,23.976,48000,2,1920 x 1080,Cineform HD,00:12:06:12,00:12:08:06,17436,17477,42,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:19,23.976,48000,2,1920 x 1080,Cineform HD,00:12:08:06,00:12:10:01,17478,17520,43,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:16,23.976,48000,2,1920 x 1080,Cineform HD,00:12:10:01,00:12:12:17,17521,17584,64,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:07:01,23.976,48000,2,1920 x 1080,Cineform HD,00:12:12:17,00:12:19:18,17585,17753,169,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:06,23.976,48000,2,1920 x 1080,Cineform HD,00:12:19:18,00:12:26:00,17754,17903,150,10,16,Auto,2,Fri Jul 20 23:08:27 2018
